bucket_start,machine_id,planned_time_sec,availability_loss_sec,ideal_cycle_time_total_sec,actual_cycle_time_total_sec,total_parts,good_parts,scrap_parts,energy_total_kwh,energy_productive_kwh,energy_non_productive_kwh,energy_non_productive_stop_kwh,good_cycle_energy_kwh,availability,performance,quality,oee,scrap_rate,cycle_energy_per_good_part_kwh,system_energy_per_good_part_kwh,non_productive_energy_ratio
2026-03-01 06:00:00+00:00,DMU50_001,3600.0,1200.0,1320.0,1362.304,3,2,1,9.688163,8.127323,1.1666,0.39424,3.79402,0.6666666666666666,0.9689467255473081,0.6666666666666666,0.43064298913213694,0.3333333333333333,1.89701,4.8440815,0.16110794172228524
2026-03-01 07:00:00+00:00,DMU50_001,3600.0,900.0,1380.0,1433.434,3,2,1,9.85916,8.20655,1.30973,0.34288,4.00126,0.75,0.9627230831695076,0.6666666666666666,0.4813615415847538,0.3333333333333333,2.00063,4.92958,0.16762178522308188
2026-03-01 08:00:00+00:00,DMU50_001,3600.0,660.0,2040.0,2038.823,4,3,1,11.5141,10.08972,1.42438,0.0,6.4543,0.8166666666666667,1.0005772938602322,0.75,0.6128535924893922,0.25,2.1514333333333333,3.838033333333333,0.12370745433859355
2026-03-01 09:00:00+00:00,DMU50_001,3600.0,480.0,900.0,969.391,2,1,1,10.34851,9.01698,1.21928,0.11225,1.73126,0.8666666666666667,0.9284179448746688,0.5,0.4023144427790231,0.5,1.73126,10.34851,0.12866876487532988
2026-03-01 10:00:00+00:00,DMU50_001,3600.0,720.0,1860.0,1861.019,4,3,1,10.68683,9.40644,0.82576,0.45463,5.98243,0.8,0.9994524505123269,0.75,0.5996714703073961,0.25,1.9941433333333334,3.5622766666666665,0.11981008400058764
2026-03-01 11:00:00+00:00,DMU50_001,3600.0,720.0,840.0,854.545,2,1,1,9.86386,8.59984,0.80386,0.46016,2.23719,0.8,0.9829792462655565,0.5,0.3931916985062226,0.5,2.23719,9.86386,0.128146587644188
2026-03-01 12:00:00+00:00,DMU50_001,3600.0,1020.0,1920.0,1941.981,4,3,1,10.61931,9.55111,0.54848,0.51972,6.06225,0.7166666666666667,0.9886811456960701,0.75,0.5314161158116377,0.25,2.02075,3.53977,0.10059033967366994
2026-03-01 13:00:00+00:00,DMU50_001,3600.0,720.0,1680.0,1692.743,4,3,1,10.88478,9.72076,0.81111,0.35291,5.73787,0.8,0.9924719818661191,0.75,0.5954831891196715,0.25,1.9126233333333333,3.62826,0.10694014945639692
2026-03-01 14:00:00+00:00,DMU50_001,3600.0,480.0,1680.0,1673.911,4,2,2,11.33947,9.90867,1.08358,0.34722,3.76716,0.8666666666666667,1.0036375888562774,0.5,0.43490962183772014,0.5,1.88358,5.669735,0.1261787367487193
2026-03-01 15:00:00+00:00,DMU50_001,3600.0,780.0,2040.0,2047.397,4,3,1,11.3122,9.89182,1.3097,0.11068,6.75963,0.7833333333333333,0.9963871198404608,0.75,0.5853774329062708,0.25,2.25321,3.7707333333333333,0.12556178285390993
2026-03-01 16:00:00+00:00,DMU50_001,3600.0,600.0,900.0,925.141,2,1,1,9.53641,8.36455,0.92983,0.24203,2.54135,0.8333333333333334,0.9728246829402221,0.5,0.4053436178917592,0.5,2.54135,9.53641,0.12288272001728114
