bucket_start,machine_id,system_energy_per_good_part_kwh,availability,performance,quality
2026-03-01 04:00:00+00:00,DMU50_001,4.88683075,0.7083333333333334,0.9657557324756468,0.6666666666666666
2026-03-01 08:00:00+00:00,DMU50_001,5.3016625,0.8208333333333333,0.9853631639801544,0.6666666666666666
2026-03-01 12:00:00+00:00,DMU50_001,4.01416,0.7916666666666666,0.995101707007256,0.6875
2026-03-01 16:00:00+00:00,DMU50_001,5.04403,0.7875,0.9908301820975168,0.6666666666666666
2026-03-01 20:00:00+00:00,DMU50_001,5.655118571428572,0.7666666666666667,0.9925130561174718,0.6363636363636364
2026-03-02 00:00:00+00:00,DMU50_001,5.17170125,0.7708333333333334,0.975971403314941,0.6666666666666666
2026-03-02 04:00:00+00:00,DMU50_001,4.028479,0.7208333333333333,0.9841579614534716,0.7142857142857143
2026-03-02 08:00:00+00:00,DMU50_001,5.12659,0.7625,0.9777402879988336,0.6666666666666666
2026-03-02 12:00:00+00:00,DMU50_001,5.79296,0.8208333333333333,0.9963657559053354,0.6363636363636364
2026-03-02 16:00:00+00:00,DMU50_001,3.974705454545455,0.7791666666666667,0.9671154128903028,0.6875
2026-03-02 20:00:00+00:00,DMU50_001,4.605587777777777,0.7625,0.9856988306744968,0.6428571428571429
2026-03-03 00:00:00+00:00,DMU50_001,5.205231250000001,0.7958333333333333,0.9947613138495351,0.6666666666666666
2026-03-03 04:00:00+00:00,DMU50_001,4.074943636363636,0.8208333333333333,0.978117656778238,0.6875
2026-03-03 08:00:00+00:00,DMU50_001,5.1597375,0.775,0.9876017048341688,0.6153846153846154
2026-03-03 12:00:00+00:00,DMU50_001,5.07771,0.7583333333333333,0.9764669633248884,0.6666666666666666
2026-03-03 16:00:00+00:00,DMU50_001,4.175906,0.7666666666666667,0.9785942493607932,0.7142857142857143
2026-03-03 20:00:00+00:00,DMU50_001,5.6058514285714285,0.7208333333333333,0.991096077353128,0.6363636363636364
2026-03-04 00:00:00+00:00,DMU50_001,5.526084285714285,0.7291666666666666,1.001011570764549,0.6363636363636364
2026-03-04 04:00:00+00:00,DMU50_001,4.201477,0.775,0.9850496930766084,0.7142857142857143
2026-03-04 08:00:00+00:00,DMU50_001,4.306034,0.7833333333333333,0.984346546232648,0.6666666666666666
